iter	Passed	Remaining
434	809	1051
435	811	1050
436	814	1048
437	816	1047
438	818	1046
439	820	1044
440	823	1043
441	825	1041
442	827	1039
443	828	1037
444	830	1035
445	832	1034
446	834	1032
447	836	1030
448	838	1028
449	840	1026
450	841	1024
451	843	1022
452	845	1020
453	847	1018
454	848	1016
455	850	1014
456	852	1012
457	854	1010
458	856	1008
459	857	1007
460	859	1005
461	861	1003
462	863	1001
463	864	999
464	866	997
465	868	995
466	870	993
467	872	991
468	873	989
469	875	987
470	877	985
471	879	983
472	881	981
473	882	979
474	884	977
475	886	975
476	888	973
477	889	971
478	891	969
479	893	967
480	895	965
481	897	964
482	898	962
483	900	960
484	902	958
485	904	956
486	906	954
487	907	952
488	909	950
489	911	948
490	913	946
491	914	944
492	916	942
493	918	940
494	920	938
495	922	936
496	923	934
497	925	932
498	927	931
499	929	929
500	931	927
501	933	925
502	935	923
503	936	922
504	938	920
505	940	918
506	942	916
507	944	914
508	946	912
509	948	910
510	950	909
511	951	907
512	953	905
513	955	903
514	957	901
515	958	899
516	960	897
517	962	895
518	964	894
519	966	892
520	968	890
521	970	888
522	972	886
523	973	884
524	976	883
525	977	881
526	979	879
527	981	877
528	983	875
529	985	873
530	987	871
531	988	869
532	990	867
533	992	866
534	994	864
535	996	862
536	998	860
537	1000	858
538	1002	857
539	1003	855
540	1005	853
541	1007	851
542	1009	849
543	1012	848
544	1014	847
545	1016	845
546	1018	843
547	1021	842
548	1023	840
549	1025	839
550	1028	837
551	1030	835
552	1032	834
553	1034	832
554	1036	830
555	1037	828
556	1039	826
557	1042	825
558	1044	823
559	1046	822
560	1048	820
561	1050	818
562	1052	816
563	1054	814
564	1056	813
565	1057	811
566	1059	809
567	1061	807
568	1063	805
569	1065	803
570	1067	801
571	1069	799
572	1071	798
573	1073	796
574	1075	794
575	1076	792
576	1078	790
577	1080	788
578	1082	787
579	1084	785
580	1086	783
581	1088	781
582	1090	779
583	1092	778
584	1094	776
585	1096	774
586	1098	772
587	1100	770
588	1101	768
589	1103	767
590	1105	765
591	1107	763
592	1109	761
593	1111	759
594	1113	757
595	1115	756
596	1117	754
597	1119	752
598	1121	751
599	1124	749
600	1125	747
601	1127	745
602	1130	744
603	1132	742
604	1134	740
605	1136	738
606	1138	737
607	1140	735
608	1142	733
609	1145	732
610	1147	730
611	1149	728
612	1151	727
613	1153	725
614	1155	723
615	1157	721
616	1159	720
617	1161	718
618	1163	716
619	1166	714
620	1168	712
621	1170	711
622	1172	709
623	1174	707
624	1176	705
625	1178	704
626	1180	702
627	1182	700
628	1184	698
629	1186	696
630	1188	695
631	1191	693
632	1193	691
633	1195	690
634	1197	688
635	1199	686
636	1201	684
637	1203	683
638	1205	681
639	1207	679
640	1210	677
641	1212	675
642	1214	674
643	1216	672
644	1218	670
645	1220	668
646	1222	667
647	1225	665
648	1227	663
649	1229	662
650	1232	660
651	1234	659
652	1237	657
653	1239	655
654	1242	654
655	1245	652
656	1247	651
657	1249	649
658	1252	647
659	1254	646
660	1255	644
661	1258	642
662	1260	640
663	1262	638
664	1264	636
665	1267	635
666	1269	633
667	1271	631
668	1273	629
669	1275	627
670	1277	626
671	1279	624
672	1281	622
673	1283	620
674	1285	618
675	1287	617
676	1289	615
677	1292	613
678	1294	611
679	1296	609
680	1298	608
681	1300	606
682	1302	604
683	1304	602
684	1306	600
685	1308	598
686	1310	597
687	1312	595
688	1314	593
689	1316	591
690	1319	589
691	1321	587
692	1322	586
693	1325	584
694	1327	582
695	1329	580
696	1331	578
697	1333	576
698	1335	575
699	1337	573
700	1339	571
701	1341	569
702	1343	567
703	1346	565
704	1348	564
705	1350	562
706	1352	560
707	1354	558
708	1356	556
709	1358	554
710	1360	553
711	1362	551
712	1365	549
713	1367	547
714	1369	545
715	1371	544
716	1373	542
717	1375	540
718	1377	538
719	1379	536
720	1381	534
721	1383	532
722	1385	530
723	1387	528
724	1389	527
725	1391	525
726	1393	523
727	1396	521
728	1398	519
729	1400	517
730	1402	516
731	1404	514
732	1406	512
733	1408	510
734	1410	508
735	1413	506
736	1414	504
737	1416	503
738	1419	501
739	1422	499
740	1424	497
741	1427	496
742	1429	494
743	1431	492
744	1434	490
745	1454	495
746	1467	496
747	1469	495
748	1472	493
749	1477	492
750	1480	490
751	1482	489
752	1485	487
753	1488	485
754	1490	483
755	1493	481
756	1495	480
757	1498	478
758	1500	476
759	1502	474
760	1504	472
761	1507	470
762	1509	468
763	1511	466
764	1513	464
765	1515	463
766	1517	461
767	1520	459
768	1522	457
769	1524	455
770	1526	453
771	1528	451
772	1530	449
773	1532	447
774	1535	445
775	1537	443
776	1539	441
777	1541	439
778	1543	438
779	1546	436
780	1548	434
781	1550	432
782	1552	430
783	1554	428
784	1556	426
785	1559	424
786	1561	422
787	1563	420
788	1565	418
789	1567	416
790	1570	414
791	1572	412
792	1574	410
793	1576	408
794	1578	407
795	1580	405
796	1582	403
797	1585	401
798	1587	399
799	1589	397
800	1591	395
801	1593	393
802	1595	391
803	1597	389
804	1599	387
805	1602	385
806	1604	383
807	1606	381
808	1608	379
809	1610	377
810	1612	375
811	1614	373
812	1617	372
813	1619	370
814	1622	368
815	1624	366
816	1627	364
817	1629	362
818	1631	360
819	1634	358
820	1637	356
821	1639	355
822	1642	353
823	1644	351
824	1646	349
825	1648	347
826	1650	345
827	1653	343
828	1655	341
829	1657	339
830	1659	337
831	1661	335
832	1663	333
833	1666	331
834	1668	329
835	1670	327
836	1672	325
837	1674	323
838	1676	321
839	1678	319
840	1680	317
841	1682	315
842	1684	313
843	1687	311
844	1689	309
845	1691	307
846	1693	305
847	1695	303
848	1696	301
849	1698	299
850	1700	297
851	1703	295
852	1705	293
853	1707	291
854	1709	289
855	1711	287
856	1713	285
857	1715	283
858	1717	281
859	1719	279
860	1722	278
861	1724	276
862	1726	274
863	1728	272
864	1730	270
865	1732	268
866	1734	266
867	1736	264
868	1738	262
869	1741	260
870	1743	258
871	1745	256
872	1747	254
873	1749	252
874	1751	250
875	1753	248
876	1755	246
877	1757	244
878	1759	242
879	1761	240
880	1763	238
881	1766	236
882	1768	234
883	1770	232
884	1772	230
885	1774	228
886	1776	226
887	1778	224
888	1780	222
889	1782	220
890	1784	218
891	1786	216
892	1788	214
893	1790	212
894	1792	210
895	1794	208
896	1796	206
897	1798	204
898	1800	202
899	1802	200
900	1804	198
901	1806	196
902	1808	194
903	1810	192
904	1813	190
905	1815	188
906	1817	186
907	1819	184
908	1821	182
909	1824	180
910	1826	178
911	1829	176
912	1831	174
913	1834	172
914	1836	170
915	1839	168
916	1841	166
917	1844	164
918	1846	162
919	1849	160
920	1852	158
921	1854	156
922	1856	154
923	1858	152
924	1860	150
925	1863	148
926	1865	146
927	1867	144
928	1869	142
929	1871	140
930	1873	138
931	1875	136
932	1878	134
933	1880	132
934	1882	130
935	1884	128
936	1886	126
937	1888	124
938	1890	122
939	1892	120
940	1895	118
941	1897	116
942	1899	114
943	1901	112
944	1903	110
945	1905	108
946	1907	106
947	1909	104
948	1911	102
949	1914	100
950	1916	98
951	1918	96
952	1920	94
953	1922	92
954	1924	90
955	1926	88
956	1928	86
957	1930	84
958	1933	82
959	1935	80
960	1937	78
961	1939	76
962	1941	74
963	1943	72
964	1945	70
965	1948	68
966	1950	66
967	1952	64
968	1954	62
969	1957	60
970	1959	58
971	1961	56
972	1963	54
973	1965	52
974	1967	50
975	1969	48
976	1971	46
977	1974	44
978	1976	42
979	1978	40
980	1980	38
981	1983	36
982	1985	34
983	1986	32
984	1988	30
985	1991	28
986	1993	26
987	1995	24
988	1997	22
989	1999	20
990	2001	18
991	2003	16
992	2005	14
993	2007	12
994	2009	10
995	2011	8
996	2013	6
997	2015	4
998	2017	2
999	2019	0
